year,dataset,command,count
2015,TNQSVS,regress,115
2016,XZ53RA,probit,100
2016,KAJNYY,regress,93
2016,9D2NAC,regress,81
2016,GJIBCB,regress,78
2014,26459,streg,63
2019,8YWCF9,regress,63
2014,27258,xtpcse,60
2018,MKP7IQ,ivregress,52
2019,ZI5VFA,regress,50
2017,ZVQUB2,nbreg,46
2019,MR1QW3,mlogit,44
2015,WR7SYV,regress,42
2019,T9BD35,regress,42
2016,F7JJDP,regress,40
2016,F7JJDP,logit,39
2015,29945,nbreg,34
2015,TDSJHE,regress,34
2015,29221,regress,33
2019,7P2GSV,gllamm,33
2014,24941,regress,32
2018,YX4S5X,oprobit,32
2018,HREANC,reghdfe,31
2015,29221,xtmixed,30
2016,TQYZ4O,regress,30
2019,DEKS5Z,regress,29
2015,W3NJYY,nbreg,27
2019,ZAP6KU,regress,27
2016,GJIBCB,ologit,27
2016,ZCBT2N,oprobit,27
2019,HOSWS7,regress,26
2017,YY2BVS,logit,25
2016,SAJCVL,impute,24
2014,27258,xtreg,23
2017,GDILSM,logit,21
2017,6ZBJMW,regress,20
2014,27444,regress,19
2015,6SVJRS,regress,19
2018,VETQG9,xtlogit,19
2017,5EETZA,regress,19
2019,7SECSL,mlogit,17
2017,WMFPW7,logit,17
2015,AZEOHU,regress,16
2015,29945,regress,16
2015,WR7SYV,ologit,16
2019,XGUAZV,regress,16
2017,DTFRAR,stcox,16
2015,1R6OOC,xtabond2,15
2019,GJNJZE,regress,15
2015,28946,anova,14
2018,GOYSFK,mlogit,14
2018,V1LMZ5,regress,14
2016,IEOZOA,regress,14
2016,DWJZIW,streg,14
2016,DWJZIW,stcox,14
2017,PBGCOX,regress,14
2014,27676,xtmelogit,13
2014,27444,tobit,13
2014,27841,regress,13
2016,TX7N7L,svy:regress,13
2017,SDDXRT,nbreg,13
2015,29221,xtmelogit,12
2018,BE99YA,regress,12
2018,YX4S5X,probit,12
2018,VETQG9,logit,12
2018,VETQG9,xtreg,12
2018,KCTYRK,logit,12
2019,XEE99U,xtmixed,12
2019,5GQIVU,logit,12
2019,ULLGEK,heckprob,12
2016,TQYZ4O,anova,12
2016,IQHZKB,logit,12
2014,27841,mixed,11
2014,26655,regress,10
2014,28372,regress,10
2015,TDSJHE,probit,10
2018,HREANC,bootstrap:reghdfe,10
2019,ZI5VFA,outreg,10
2016,KAJNYY,logit,10
2014,26637,stcox,9
2018,MKOBET,xtreg,9
2019,PQB8F8,xtreg,9
2019,XKCSL3,regress,9
2016,QRC2JN,logit,9
2017,8K9BBR,logit,9
2017,ULQCQ6,ivprobit,9
2017,1RD4HI,oprobit,9
2015,AKN8TY,nbreg,8
2015,TDSJHE,estsimp,8
2015,TDSJHE,oprobit,8
2015,29501,regress,8
2018,CKENYM,asclogit,8
2018,MKP7IQ,ologit,8
2016,O4WC1N,svy:logit,8
2016,TX7N7L,regress,8
2016,KY3WAE,regress,8
2016,GVNEI2,logit,8
2017,YY2BVS,ologit,8
2017,GAUV14,logit,8
2017,DZT7ZR,regress,8
2017,FA6TOE,logit,8
2014,24354,regress,7
2014,25853,clogit,7
2015,UXSB23,streg,7
2018,HREANC,areg,7
2019,FMOSHH,nbreg,7
2019,ULLGEK,probit,7
2016,BSSEDQ,logit,7
2016,A819NG,regress,7
2017,YY2BVS,regress,7
2017,SDDXRT,regress,7
2014,27771,xtreg,6
2015,AKN8TY,logit,6
2018,GOYSFK,logit,6
2018,MKP7IQ,regress,6
2016,YGOOUR,regress,6
2016,TX7N7L,svy:oprobit,6
2016,SAJCVL,svy:probit,6
2016,GVNEI2,melogit,6
2017,AZHTBT,svy:regress,6
2017,AZHTBT,regress,6
2017,8K9BBR,mlogit,6
2017,DZT7ZR,nbreg,6
2017,DZT7ZR,mlogit,6
2017,FA6TOE,nbreg,6
2014,27676,xtmixed,5
2014,24354,probit,5
2014,27258,regress,5
2015,6LBE2R,logit,5
2015,29361,arima,5
2018,HREANC,xtabond2,5
2019,HOSWS7,xtreg,5
2019,FMOSHH,xtnbreg,5
2019,MR1QW3,mixed,5
2016,9D2NAC,oprobit,5
2018,YX4S5X,mlogit,4
2018,HREANC,xtivreg2,4
2018,HREANC,regress,4
2018,BONQSQ,xtreg,4
2018,VETQG9,mlogit,4
2019,MR1QW3,areg,4
2019,7P2GSV,ologit,4
2019,JSOWUR,rdrobust,4
2019,R8EJWA,probit,4
2019,A8WOCU,xtreg,4
2016,O4WC1N,svy:mlogit,4
2016,XWQLRU,logit,4
2016,A819NG,heckman,4
2017,AZHTBT,svy:logit,4
2017,AZHTBT,logit,4
2017,WOHUFP,mlogit,4
2017,GYSP8I,melogit,4
2017,ULQCQ6,probit,4
2014,26655,xtreg,3
2014,27676,regress,3
2015,29744,probit,3
2015,V5CGTS,regress,3
2015,V5CGTS,outreg,3
2018,BE99YA,nbreg,3
2018,MKOBET,regress,3
2019,8YWCF9,logit,3
2019,PQB8F8,regress,3
2019,GJNJZE,areg,3
2019,GJNJZE,impute,3
2019,R8EJWA,regress,3
2016,O4WC1N,logit,3
2016,GVNEI2,mlogit,3
2016,IQHZKB,impute,3
2016,KAJNYY,xtlogit,3
2017,GYSP8I,logit,3
2017,55Y5RU,probit,3
2014,27841,xtpcse,2
2015,29473,regress,2
2015,V5CGTS,logit,2
2018,ZP9Y6Q,oprobit,2
2018,ZP9Y6Q,estsimp,2
2018,QUJY64,anova,2
2019,7SECSL,logit,2
2019,Z02C8Y,xtmixed,2
2019,NMTCUS,regress,2
2019,NMTCUS,ologit,2
2017,AZHTBT,svy:mlogit,2
2017,AZHTBT,mlogit,2
2017,GYSP8I,regress,2
2017,GYSP8I,mixed,2
2017,DZT7ZR,logit,2
2017,DZT7ZR,poisson,2
2017,SDDXRT,impute,2
2017,ULQCQ6,ivreg2,2
2017,FMZQMJ,regress,2
2017,ZVQUB2,zinb,2
2017,55Y5RU,oprobit,2
2014,26459,estsimp,1
2015,AZEOHU,logit,1
2015,TDSJHE,mprobit,1
2015,UXSB23,mlogit,1
2015,SY5NEY,logit,1
2015,29473,glm,1
2018,CKENYM,probit,1
2018,YX4S5X,svy:oprobit,1
2018,JTEHKJ,mlogit,1
2018,MKOBET,xtpcse,1
2019,HOSWS7,mlogit,1
2019,FMOSHH,estsimp,1
2019,FMOSHH,regress,1
2019,FMOSHH,btscs,1
2019,PQB8F8,xtpcse,1
2019,MR1QW3,regress,1
2019,7P2GSV,xtlogit,1
2019,NMTCUS,logit,1
2019,ULLGEK,sartsel,1
2016,ZCBT2N,ologit,1
2016,ZCBT2N,meologit,1
2016,ZCBT2N,regress,1
2016,ZCBT2N,xthtaylor,1
2016,SAJCVL,svy:gsem,1
2016,CC2AU2,logit,1
2016,CC2AU2,estsimp,1
