year,dataset,command,count
2016,ASXOBS,label,110870
2014,22817,label,47779
2015,R193JO,replace,15036
2019,YUDEVH,label,13834
2018,R8SGBQ,replace,11492
2016,ASXOBS,tabulate,7670
2013,87PME7,label,6436
2015,28641,replace,6369
2016,ASXOBS,summarize,4648
2018,R8SGBQ,generate,4456
2018,T70TLT,replace,4452
2015,26873,replace,3698
2018,5JWBXU,label,3637
2012,CJM3JS,generate,3293
2013,REST_A_00267,matrix,3222
2013,PCDG7J,replace,3032
2013,22819,label,2905
2014,24195,replace,2898
2014,22817,replace,2673
2014,22817,generate,2612
2012,OYVNGX,matrix,2549
2015,MJAPQ9,label,2536
2015,28945,replace,2411
2018,T70TLT,local,2328
2018,ETS5LV,estadd,2154
2013,SHRAOL,replace,2090
2017,SDUGGM,replace,2088
2015,26764,replace,2087
2014,27802,replace,2023
2016,JZKKZB,replace,1742
2018,R8SGBQ,matrix,1688
2017,SS0AA5,generate,1623
2018,RUQQYM,replace,1612
2013,87PME7,replace,1607
2015,26873,local,1588
2014,27757,local,1583
2012,U6Q9LR,tabulate,1519
2015,26764,label,1299
2013,87PME7,rename,1298
2018,ETS5LV,generate,1296
2018,R8SGBQ,local,1291
2018,V65YUM,replace,1274
2015,27017,replace,1216
2015,26873,generate,1173
2017,YTEELK,label,1136
2012,1AJV3A,rename,1124
2017,SDUGGM,local,1120
2014,26890,ml,1107
2017,SS0AA5,replace,1103
2014,22817,rename,1081
2013,REST_A_00267,forvalues,1061
2015,26873,if,1057
2016,IENDDJ,replace,1051
2014,24481,forvalues,1044
2014,24481,matrix,1018
2014,27249,do,1005
2015,26764,generate,933
2013,SHRAOL,matrix,925
2014,26890,generate,901
2012,DB5RXR,replace,896
2015,27294,generate,884
2013,GDJZ08,sca,882
2013,GDJZ08,file,882
2018,R8SGBQ,drop,878
2012,IYAMP5,label,877
2017,ID6SYF,generate,877
2017,SDUGGM,generate,870
2012,DB5RXR,generate,867
2013,RHHG2B,replace,852
2012,U6Q9LR,keep,848
2012,BMCNEW,replace,847
2014,28390,replace,844
2012,HP5OV8,generate,840
2018,G1JEV3,generate,834
2014,27098,replace,825
2012,OYVNGX,global,816
2017,SDUGGM,count,814
2014,22817,drop,810
2018,GL5CCD,generate,805
2018,R8SGBQ,keep,803
2015,26764,rename,798
2018,HNNMQT,replace,797
2014,22817,outreg,786
2016,R7RYIV,generate,781
2012,XKETSJ,local,779
2014,28390,generate,762
2018,R8SGBQ,egen,759
2012,HP5OV8,rename,755
2012,HP5OV8,replace,749
2014,22817,table,746
2014,27110,drop,738
2013,X8C3CO,local,714
2013,87PME7,generate,713
2017,UNXRHW,scalar,703
2018,R8SGBQ,save,691
2014,26906,replace,689
2013,REST_A_00267,drop,688
2014,25020,label,673
2016,ASXOBS,assert,670
2016,3EYP3I,local,660
2015,R193JO,generate,654
2018,5JWBXU,local,651
2013,EJ1YAH,replace,640
2018,CZ7URJ,generate,637
2014,27070,replace,632
2018,G1JEV3,local,629
2014,27249,generate,615
2017,SS0AA5,forvalues,615
2014,27110,sort,614
2013,FKW5PP,replace,612
2018,G1JEV3,replace,610
2013,FKW5PP,label,609
2018,OS7LCY,rename,608
2017,SDUGGM,drop,603
2015,27017,generate,602
2018,V65YUM,generate,596
2015,26873,rename,595
2018,R8SGBQ,foreach,589
2014,24195,generate,587
2013,23985,project,587
2012,ASCZFD,replace,586
2018,T70TLT,generate,581
2018,ETS5LV,label,580
2012,DB5RXR,drop,576
2019,KEIMA9,generate,571
2013,REST_A_00267,global,569
2017,JXQETW,generate,567
2017,UNXRHW,display,563
2013,IRNEGM,matrix,560
2015,27294,drop,557
2012,0IIHRH,replace,557
2012,TUXWCQ,replace,552
2016,JZKKZB,generate,550
2014,25493,replace,547
2017,SS0AA5,local,547
2018,R8SGBQ,use,546
