title,href,date
"Replication Data for: ""Job Polarization and Jobless Recoveries""",/dataset.xhtml?persistentId=doi:10.7910/DVN/JGTHXF,"May 17, 2019"
"Replication data for: ""Motivating Innovation: The Effect of Loss Aversion on the Willingness to Persist""",/dataset.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY,"May 15, 2019"
"Replication Data for: ""Healthy Business? Managerial Education and Management in Healthcare""",/dataset.xhtml?persistentId=doi:10.7910/DVN/KY9AWG,"May 13, 2019"
"Replication data for: ""Risk Attitudes, Sample Selection and Attrition in a Longitudinal Field Experiment""",/dataset.xhtml?persistentId=doi:10.7910/DVN/KEIMA9,"May 6, 2019"
"Replication data for: ""Nonparametric IV Methods for Dynamic Treatment Evaluation""",/dataset.xhtml?persistentId=doi:10.7910/DVN/AKQN5B,"May 6, 2019"
"Replication files for: ""Evidence of Neighborhood Effects from Moving to Opportunity:  LATEs of Neighborhood Quality""",/dataset.xhtml?persistentId=doi:10.7910/DVN/YG3VTR,"May 3, 2019"
"Replication data for: ""What do Editors Maximize? Evidence from Four Economics Journals""",/dataset.xhtml?persistentId=doi:10.7910/DVN/9SUPHG,"May 3, 2019"
"Replication data for: ""Upskilling: Do Employers Demand Greater Skill When Workers Are Plentiful""",/dataset.xhtml?persistentId=doi:10.7910/DVN/WYTSSD,"May 3, 2019"
"Replication data for:"" Teacher Expectations Matter""",/dataset.xhtml?persistentId=doi:10.7910/DVN/7BCE4A,"May 3, 2019"
"Replication data for: ""Does Austerity Pay Off?""",/dataset.xhtml?persistentId=doi:10.7910/DVN/6BZZ3Z,"May 1, 2019"
"Replication data for: ""Does Medicare Reimbursement Drive Up Drug Launch Prices?""",/dataset.xhtml?persistentId=doi:10.7910/DVN/574HZE,"May 1, 2019"
"Replication data for: ""Contractionary Devaluation Risk: Evidence from the Free Silver Movement, 1878-1900""",/dataset.xhtml?persistentId=doi:10.7910/DVN/KRUVIQ,"Apr 17, 2019"
"Replication data for: ""Does Affirmative Action Incentivize Schooling? Evidence from India""",/dataset.xhtml?persistentId=doi:10.7910/DVN/QAGZZ7,"Apr 17, 2019"
"Replication data for: ""The Time-Varying Effect of Monetary Policy on Asset Prices""",/dataset.xhtml?persistentId=doi:10.7910/DVN/35PIZO,"Apr 5, 2019"
"Replication data for: ""Exporting Sweatshops? Evidence from Myanmar""",/dataset.xhtml?persistentId=doi:10.7910/DVN/C8JKBM,"Apr 1, 2019"
