title,href,date,filename,file_href
"Replication Data for: ""Job Polarization and Jobless Recoveries""",/dataset.xhtml?persistentId=doi:10.7910/DVN/JGTHXF,"May 17, 2019",bpass.m,/file.xhtml?persistentId=doi:10.7910/DVN/JGTHXF/UEOKVJ&version=1.0
"Replication Data for: ""Job Polarization and Jobless Recoveries""",/dataset.xhtml?persistentId=doi:10.7910/DVN/JGTHXF,"May 17, 2019",JaimoSiuData20190505.tab,/file.xhtml?persistentId=doi:10.7910/DVN/JGTHXF/0NY7C5&version=1.0
"Replication Data for: ""Job Polarization and Jobless Recoveries""",/dataset.xhtml?persistentId=doi:10.7910/DVN/JGTHXF,"May 17, 2019",README.rtf,/file.xhtml?persistentId=doi:10.7910/DVN/JGTHXF/UKCDOG&version=1.0
"Replication data for: ""Motivating Innovation: The Effect of Loss Aversion on the Willingness to Persist""",/dataset.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY,"May 15, 2019",01_graph_avg_exploration_fig_4.py,/file.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY/97JBL2&version=1.0
"Replication data for: ""Motivating Innovation: The Effect of Loss Aversion on the Willingness to Persist""",/dataset.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY,"May 15, 2019",01_Graph_Figure4a.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY/QHJQSB&version=1.0
"Replication data for: ""Motivating Innovation: The Effect of Loss Aversion on the Willingness to Persist""",/dataset.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY,"May 15, 2019",01_Graph_Figure4b.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY/QAK9BJ&version=1.0
"Replication data for: ""Motivating Innovation: The Effect of Loss Aversion on the Willingness to Persist""",/dataset.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY,"May 15, 2019",02_calc_descriptive_stats_table_3.py,/file.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY/OQHNBE&version=1.0
"Replication data for: ""Motivating Innovation: The Effect of Loss Aversion on the Willingness to Persist""",/dataset.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY,"May 15, 2019",02_descriptive_stats.txt,/file.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY/QP3B3E&version=1.0
"Replication data for: ""Motivating Innovation: The Effect of Loss Aversion on the Willingness to Persist""",/dataset.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY,"May 15, 2019",03_calc_results_table_4.py,/file.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY/XPH6IE&version=1.0
"Replication data for: ""Motivating Innovation: The Effect of Loss Aversion on the Willingness to Persist""",/dataset.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY,"May 15, 2019",03_hits_data.tab,/file.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY/BMGQXA&version=1.0
"Replication data for: ""Motivating Innovation: The Effect of Loss Aversion on the Willingness to Persist""",/dataset.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY,"May 15, 2019",03_table4.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY/PNJNCQ&version=1.0
"Replication data for: ""Motivating Innovation: The Effect of Loss Aversion on the Willingness to Persist""",/dataset.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY,"May 15, 2019",03_table4.tex,/file.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY/XA8RED&version=1.0
"Replication data for: ""Motivating Innovation: The Effect of Loss Aversion on the Willingness to Persist""",/dataset.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY,"May 15, 2019",04_calc_net_benefit.py,/file.xhtml?persistentId=doi:10.7910/DVN/FSN6ZY/JXUY7Q&version=1.0
"Replication Data for: ""Healthy Business? Managerial Education and Management in Healthcare""",/dataset.xhtml?persistentId=doi:10.7910/DVN/KY9AWG,"May 13, 2019",healthybusiness_replication_v1.do,/file.xhtml?persistentId=doi:10.7910/DVN/KY9AWG/YZXWBA&version=1.0
