year,dataset,command,count
2014,26890,ml,1107
2014,22817,outreg,786
2014,22817,regress,504
2015,27017,regress,430
2017,UNXRHW,regress,386
2015,6TC8RO,regress,360
2014,27249,ivreg2,311
2015,29908,regress,256
2018,PYWQYU,outreg,230
2017,SS0AA5,regress,225
2012,TUXWCQ,areg,214
2017,OX8SKX,regress,212
2013,U17HOB,regress,208
2015,C13ZBJ,regress,198
2018,GXUZ6X,areg,196
2019,YUI2BC,rdrobust,195
2018,G1JEV3,regress,191
2015,26764,regress,172
2015,28945,xtreg,171
2018,PYWQYU,regress,165
2018,ABT3OE,xtivreg2,161
2012,438KUP,areg,157
2019,KEIMA9,ml,152
2013,23186,regress,150
2016,1NKJO3,regress,145
2013,CP8KOU,regress,140
2012,8WEXYD,xtabond,136
2014,25221,areg,135
2014,22817,cgmreg,129
2013,87PME7,regress,126
2012,OYVNGX,xtreg,124
2018,66DM1I,regress,123
2012,7VSTUV,ivreg,123
2018,ETS5LV,xtreg,122
2016,XKHMUZ,areg,119
2018,CZ7URJ,areg,118
2011,L4DUZ7,areg,115
2017,8EPWQF,xtreg,114
2012,HQZEMA,regress,113
2017,UC2ENJ,regress,113
2015,28663,areg,108
2018,ETS5LV,regress,108
2012,HQZEMA,xtreg,108
2014,REST_A_00357,regress,107
2018,PYWQYU,dprobit,107
2014,26903,regress,105
2014,24180,xtreg,104
2018,DMJREU,regress,103
2018,TOYGWR,areg,102
2012,HR2Z6R,intreg,100
2015,27831,probit,98
2018,RUQQYM,regress,98
2012,FMPXWB,xtreg,97
2012,ZTC4ND,regress,95
2015,26873,regress,93
2012,ZTC4ND,outreg,93
2016,XKHMUZ,outreg,93
2018,DX6YLE,regress,92
2013,U17HOB,outreg,92
2012,SFUKMW,regress,92
2013,UJNWFN,xtreg,91
2014,28116,regress,90
2018,JOBFPK,areg,89
2012,U6Q9LR,cgmreg,88
2015,27294,areg,87
2018,YGTU5T,ivreg2,87
2018,ABT3OE,regress,87
2013,87PME7,outreg,86
2011,X9F0JG,outreg,85
2012,8WEXYD,areg,83
2015,HWTW20,areg,82
2018,OS7LCY,regress,82
2018,FGBZCK,regress,80
2014,24180,regress,79
2012,NIBJTZ,ivreg,79
2012,QQQFMN,regress,78
2012,XKETSJ,xtreg,77
2010,5TNQIV,regress,76
2017,JXQETW,areg,76
2015,28945,clogit,73
2018,IEFKZX,areg,71
2018,T70TLT,xtivreg2,71
2012,R81HSK,regress,71
2018,KFMHJ2,ivregress2,70
2018,W4B8MB,clogit,70
2014,26870,areg,69
2012,IYAMP5,outreg,67
2019,YUDEVH,reghdfe,65
2016,7YJE1Z,areg,65
2014,27175,ivreg2,64
2014,26394,xtreg,64
2018,R8SGBQ,regress,64
2018,F26FNK,areg,64
2013,22906,xtreg,64
2012,7VSTUV,regress,64
2011,X9F0JG,regress,63
2014,24203,regress,62
2015,29944,probit,62
2019,C8JKBM,regress,62
2017,TLSIUF,dprobit,61
2014,22817,ivreg,60
2014,27669,regress,60
2014,26410,regress,60
2015,6TC8RO,ivregress,60
2015,R193JO,areg,59
2013,ARFBBO,xtreg,59
2012,HP5OV8,ivreg2,59
2014,27397,ivreg,58
2018,STFNPY,areg,58
2018,YGTU5T,regress,58
2016,Z0HZW9,regress,58
2018,MMK2NZ,areg,57
2019,YUI2BC,regress,57
2012,AWBBBD,xtivreg2,57
2014,26954,areg,56
2014,27289,cgmreg,56
2013,QKCHYM,outreg,56
2019,5TGIWC,regress,56
2012,BITKQY,outreg,56
2015,27349,xtreg,55
2016,1NKJO3,areg,55
2012,4FGHHE,xtreg,54
2015,ABE7VS,areg,52
2015,BFP2IC,outreg,52
2014,25205,xtprobit,51
2015,26944,ivreg2,51
2019,BDGGCZ,regress,51
2016,FR9JMK,areg,51
2014,27181,areg,50
2014,28390,areg,50
2013,23985,regress,50
2012,ZVSJWQ,regress,50
2014,25496,areg,49
2014,26259,regress,49
2018,RCLBOF,reghdfe,49
2012,HP5OV8,regress,49
2014,24305,tobit,48
2014,24223,regress,48
2015,27037,regress,48
2018,BHIUHV,xtreg,48
2013,QUSG2J,regress,48
2019,8AGDN8,areg,48
2012,438KUP,regress,48
2012,U6Q9LR,outreg,48
2017,DZUVZG,regress,48
2014,24747,xtreg,47
2013,23985,outreg,47
2014,27106,regress,46
2014,27326,regress,46
2014,27842,ml,46
2014,26059,regress,46
2015,29190,xtreg,46
2015,9NOYOV,regress,46
2018,GL5CCD,xtreg,46
2018,HNNMQT,regress,46
2013,MKRXRF,regress,46
2013,QUSG2J,outreg,46
2013,REST_A_00306,ivreg,46
2016,1NKJO3,ols_spatial_HAC,46
2018,IEFKZX,regress,45
2011,NJH7YO,ivreg,45
2018,C0VSJ0,ivreg28,44
2018,LEZCZ6,outreg,44
2012,DB5RXR,xtreg,44
2012,LCEITG,regress,44
