year,dataset,command,count
2016,12160,replace,712
2018,9PY8FH,scalar,403
2015,12122,replace,376
2013,11598,replace,271
2015,12122,rename,221
2018,9PY8FH,label,198
2019,OUGO3T,gr_edit,192
2018,JDLVZ8,regress,190
2016,12165,generate,172
2015,12122,generate,143
2015,12137,generate,143
2018,LTFLJ0,replace,133
2018,9PY8FH,replace,123
2017,F0DPBU,gr_edit,100
2018,9PY8FH,generate,99
2018,P3A3SQ,replace,90
2017,0CS5ZC,replace,90
2018,P3A3SQ,local,74
2015,12122,drop,73
2017,ILIXEQ,test,70
2017,ILIXEQ,local,70
2017,ILIXEQ,display,70
2016,12234,probit,69
2016,12244,xtmixed,69
2018,V0CGNN,nbreg,64
2017,POGNLC,test,64
2017,POGNLC,local,64
2017,POGNLC,display,64
2015,12125,replace,60
2016,12316,generate,60
2015,12125,estimates:store,58
2016,12160,generate,58
2015,12125,nbreg,57
2018,X8FOXC,replace,56
2018,X8FOXC,regress,56
2015,12124,replace,53
2015,11671,replace,53
2015,12151,generate,53
2015,12125,margins,51
2016,12244,generate,50
2013,11598,generate,49
2015,11669,scalar,48
2017,0CS5ZC,use,48
2015,12137,replace,46
2018,EDFKRG,margins,46
2017,0CS5ZC,clear,45
2016,12160,label,44
2015,12124,local,43
2015,12125,generate,42
2015,12124,matrix,42
2018,X8FOXC,regsave,42
2016,12160,gllapred,42
2018,V0CGNN,zinbcv,40
2016,12316,replace,40
2019,PJE1QJ,set,39
2019,PJE1QJ,bootstrap:regress,39
2015,12128,margins,38
2015,12125,drop,37
2018,LTFLJ0,label,35
2018,V0CGNN,generate,35
2016,12165,replace,35
2018,9PY8FH,egen,34
2018,V0CGNN,replace,34
2018,LTFLJ0,generate,33
2018,TRSNZX,mixed,33
2018,TRSNZX,estimates:store,33
2016,12417,xtreg,33
2015,12124,regress,32
2018,P3A3SQ,matrix,32
2018,P3A3SQ,global,30
2018,C4KSZF,xtreg,30
2016,12417,outreg2,30
2018,KPG5C2,xtreg,29
2018,LTFLJ0,margins,28
2013,11598,label,28
2017,0CS5ZC,do,28
2017,0CS5ZC,saveold,28
2018,KPG5C2,estimates:store,27
2019,OUGO3T,margins,27
2016,12165,keep,27
2015,12125,use,26
2015,12137,local,26
2018,9PY8FH,if,26
2018,P3A3SQ,generate,26
2018,KVCVJG,logit,26
2013,11598,drop,26
2018,EHEOY1,generate,25
2015,12137,drop,24
2018,0JGUOS,margins,24
2016,12160,drop,24
2017,ILIXEQ,lincom,24
2017,D9ZUIB,matrix,24
2015,12125,label,23
2015,12127,zinb,23
2015,12122,save,23
2015,12137,graph,23
2018,AX1D9P,probit,23
2018,AX1D9P,eststo,23
2013,11598,save,23
2015,12125,display,22
2015,12122,clear,22
2015,12122,tostring,22
2018,ZSDNZH,replace,22
2013,11598,use,22
2013,11598,sort,22
2015,12124,twoway,21
2015,12122,foreach,21
2015,12137,_pctile,21
2016,12316,drop,21
2016,12244,recode,21
2017,D9ZUIB,xtmg,21
2015,12125,summarize,20
2015,12127,fitstat,20
2015,12122,forvalues,20
2018,9PY8FH,log,20
2018,AX1D9P,margins,20
2018,0JGUOS,oprobit,20
2016,12160,tabulate,20
2017,0CS5ZC,keep,20
2017,0CS5ZC,save,20
2018,9XRCMQ,generate,19
2018,HE5BJS,graph,19
2018,ZSDNZH,generate,19
2016,12316,scalar,19
2016,1MEHMA,summarize,19
2016,12244,tabulate,19
2017,0CS5ZC,label,19
2015,12124,estimates:sto,18
2015,12121,local,18
2015,12122,keep,18
2015,12137,label,18
2015,12137,line,18
2018,9PY8FH,local,18
2018,9PY8FH,save,18
2018,9PY8FH,foreach,18
2018,JPZIJY,ivpoisson,18
2018,LTFLJ0,marginsplot,18
2018,V0CGNN,display,18
2018,0JGUOS,mprobit,18
2017,F0DPBU,margins,18
2015,12125,collapse,17
2015,11669,probit,17
2015,12151,label,17
2018,P3A3SQ,estimates:restore,17
2018,V0CGNN,use,17
2018,EHEOY1,egen,17
2019,OUGO3T,tabulate,17
2017,0CS5ZC,generate,17
2015,11671,means,16
2015,12122,egen,16
2018,9PY8FH,renvars,16
2018,P3A3SQ,margins,16
2018,ZSDNZH,estat,16
2019,3EAPI2,margins,16
2015,12125,save,15
2015,11669,prvalue,15
2015,11669,generate,15
2015,11671,nlcom,15
2018,9PY8FH,logit,15
2018,P3A3SQ,xtabond,15
2018,ZSDNZH,nbreg,15
2017,0CS5ZC,append,15
2017,F0DPBU,menbreg,15
2015,12125,merge,14
2015,12124,foreach,14
2015,12151,replace,14
2015,12122,insheet,14
2015,12122,split,14
2015,12122,destring,14
2018,9PY8FH,matrix,14
2018,P3A3SQ,graph,14
2018,X8FOXC,estat,14
2019,OUGO3T,tabstat,14
2019,HFV0AO,graph,14
2016,12316,twoway,14
2016,12165,drop,14
2016,12165,save,14
2015,12125,rename,13
2015,12124,preserve,13
2015,12124,restore,13
2015,12128,xtpcse,13
2018,9PY8FH,else,13
2018,P3A3SQ,display,13
2018,V0CGNN,estimates:store,13
2018,ZSDNZH,margins,13
2013,11598,collapse,13
2019,233JVI,testparm,13
2016,12165,use,13
2017,DANYSO,glm,13
2017,F0DPBU,ttest,13
2015,12122,append,12
2015,12122,reshape,12
2018,9PY8FH,sort,12
2018,9PY8FH,summarize,12
