title,href,date
"Replication Data for: Federalism, Government Liberalism and Union Weakness in America",/dataset.xhtml?persistentId=doi:10.15139/S3/4YMODT,"Apr 30, 2019"
Replication Data for: Do Voters Prefer Women Judges? Deconstructing the Competitive Advantage in State Supreme Court Elections,/dataset.xhtml?persistentId=doi:10.15139/S3/233JVI,"Apr 11, 2019"
"Replication Data for: Hot Districts, Cool Legislation: Evaluating Agenda Setting in Climate Change Bill Sponsorship in U.S. States",/dataset.xhtml?persistentId=doi:10.15139/S3/HFV0AO,"Mar 15, 2019"
Replication Data for: America's Crowded Statehouses: Measuring the Explaining Lobbying in the American States,/dataset.xhtml?persistentId=doi:10.15139/S3/3EAPI2,"Jan 17, 2019"
Replication Data for: Fiscal Accountability in Gubernatorial Elections,/dataset.xhtml?persistentId=doi:10.15139/S3/PJE1QJ,"Jan 15, 2019"
"Replication Data for: Professional Backgrounds in State Legislatures, 1993-2012",/dataset.xhtml?persistentId=doi:10.15139/S3/OUGO3T,"Jan 4, 2019"
"Replication Data for ""Towards a New Measure of State-level LGBT Interest Group Strength"" along with appendices and tutorial. ",/dataset.xhtml?persistentId=doi:10.15139/S3/KGMGYJ,"Jan 4, 2019"
Replication Data for: Short-Term Pain for Long-Term Gain: The Logic of Legislative Party Switching in the Contemporary American South,/dataset.xhtml?persistentId=doi:10.15139/S3/KVCVJG,"Dec 17, 2018"
Replication Data for: Judging Judicial Review in the American States,/dataset.xhtml?persistentId=doi:10.15139/S3/8RBPDP,"Dec 17, 2018"
"Replication Data for: Dividing the Pie: Parties, Institutional Limits, and State Budget Tradeoffs",/dataset.xhtml?persistentId=doi:10.15139/S3/EHEOY1,"Dec 11, 2018"
Replication Data for: Stakeholder Participation and Strategy in Rulemaking: A Comparative Analysis Qualitative Data Documentation,/dataset.xhtml?persistentId=doi:10.15139/S3/TIUDSK,"Dec 6, 2018"
Replication Data for: Direct Democracy and Status Quo Bias,/dataset.xhtml?persistentId=doi:10.15139/S3/LTFLJ0,"Nov 2, 2018"
Replication Data for: What Happens When Insurers Make the Insurance Laws? State Legislative Agendas and the Occupational Makeup of Government,/dataset.xhtml?persistentId=doi:10.15139/S3/ZSDNZH,"Oct 23, 2018"
Replication Data for: New-Style Campaigns in State Supreme Court Retention Elections,/dataset.xhtml?persistentId=doi:10.15139/S3/EDFKRG,"Sep 25, 2018"
Replication Data for: Their Boot in Our Face No Longer? Administrative Sectionalism and Resistance to Federal Authority in the U.S. South,/dataset.xhtml?persistentId=doi:10.15139/S3/15KGNB,"Sep 10, 2018"
Replication Data for: Access Denied? Investigating Voter Registration Rejections in Florida,/dataset.xhtml?persistentId=doi:10.15139/S3/HE5BJS,"Aug 22, 2018"
Replication Data for: Comparing Two Measures of Electoral Integrity in the American States,/dataset.xhtml?persistentId=doi:10.15139/S3/JDLVZ8,"Aug 22, 2018"
Replication Data for: You Want To Spend My Money How?: Framing Effects on Tax Increases via Ballot Propositions,/dataset.xhtml?persistentId=doi:10.15139/S3/0JGUOS,"Aug 15, 2018"
Replication Data for: Do States Circumvent Constitutional Supermajority Voting Requirements to Raise Taxes?,/dataset.xhtml?persistentId=doi:10.15139/S3/C4KSZF,"Jul 12, 2018"
Replication Data for: Subverting Administrative Oversight: Campaign Contributions and Nursing Home Inspections,/dataset.xhtml?persistentId=doi:10.15139/S3/V0CGNN,"Jun 28, 2018"
"Replication Data for: After the Punctuation: Competition, Uncertainty, and Convergent State Policy Change",/dataset.xhtml?persistentId=doi:10.15139/S3/9XRCMQ,"Jun 22, 2018"
"Replication Data for: Ideology, Party and Opinion: Explaining Individual Legislator ACA Implementation Votes in the States",/dataset.xhtml?persistentId=doi:10.15139/S3/OFJZOW,"Jun 13, 2018"
"Replication Data for: Formal Authority, Persuasive Power, and Effectiveness in State Legislatures",/dataset.xhtml?persistentId=doi:10.15139/S3/5LMPN4,"Jun 12, 2018"
Replication Data for: The Role of Constitutional Features in Judicial Review,/dataset.xhtml?persistentId=doi:10.15139/S3/JPZIJY,"Jun 12, 2018"
"Replication Data for: Public Campaign Financing, Candidate Socioeconomic Diversity, and Representational Inequality at the US State Level: Evidence from Connecticut",/dataset.xhtml?persistentId=doi:10.15139/S3/O38JOF,"Jun 4, 2018"
"Replication Data for: Transparency, Class Bias, and Redistribution: Evidence From the American States",/dataset.xhtml?persistentId=doi:10.15139/S3/KPG5C2,"May 25, 2018"
Replication Data for: States Testing the Legal Limits: The Effect of Electoral Competition on the Constitutionality of State Statutes,/dataset.xhtml?persistentId=doi:10.15139/S3/19DEI5,"May 21, 2018"
