year,dataset,command,count
2018,JDLVZ8,regress,190
2016,12234,probit,69
2016,12244,xtmixed,69
2018,V0CGNN,nbreg,64
2015,12125,nbreg,57
2018,X8FOXC,regress,56
2019,PJE1QJ,bootstrap:regress,39
2018,TRSNZX,mixed,33
2016,12417,xtreg,33
2015,12124,regress,32
2018,P3A3SQ,xtabond,30
2018,C4KSZF,xtreg,30
2018,KPG5C2,xtreg,29
2018,KVCVJG,logit,26
2015,12127,zinb,23
2018,AX1D9P,probit,23
2018,0JGUOS,oprobit,20
2018,JPZIJY,ivpoisson,18
2018,0JGUOS,mprobit,18
2015,11669,probit,17
2018,9PY8FH,logit,15
2018,ZSDNZH,nbreg,15
2017,F0DPBU,menbreg,15
2015,12128,xtpcse,13
2017,DANYSO,glm,13
2019,HFV0AO,melogit,12
2015,12122,xtreg,11
2015,12122,regress,11
2015,12128,xtreg,11
2018,JPZIJY,ivregress,10
2018,9XRCMQ,xtmixed,10
2018,EDFKRG,mixed,10
2018,V0CGNN,xtnbreg,10
2018,15KGNB,logit,10
2018,KVCVJG,regress,10
2018,JPZIJY,regress,9
2018,LTFLJ0,regress,9
2019,3EAPI2,nbreg,9
2018,0JGUOS,probit,8
2019,KGMGYJ,regress,8
2019,233JVI,regress,8
2016,12234,regress,8
2016,12479,xtreg,8
2016,12165,xtreg,8
2017,ILIXEQ,stcox,8
2015,12121,regress,7
2015,12151,nbreg,6
2015,12137,regress,6
2018,LTFLJ0,svy:logit,6
2019,OUGO3T,melogit,6
2019,PJE1QJ,xtreg,6
2016,12169,xtreg,6
2017,4VX2RT,regress,6
2017,POGNLC,regress,6
2017,SMKJFZ,xtpcse,6
2016,12316,xtpcse,5
2016,12316,xtreg,5
2016,1MEHMA,regress,5
2015,12124,estsimp,4
2015,11671,anova,4
2018,15KGNB,relogit,4
2018,KVCVJG,mlogit,4
2019,KGMGYJ,stcox,4
2019,OUGO3T,regress,4
2016,12165,regress,4
2017,DAVDSH,oprobit,4
2014,11647,logit,3
2014,11647,nbreg,3
2015,12127,regress,3
2015,11671,regress,3
2018,HE5BJS,regress,3
2018,LTFLJ0,mlogit,3
2018,LTFLJ0,svy:mlogit,3
2018,V0CGNN,regress,3
2018,ZSDNZH,logit,3
2019,233JVI,mixed,3
2016,12160,gllamm,3
2017,D9ZUIB,xtreg,3
2017,F0DPBU,mixed,3
2015,12124,rreg,2
2015,12137,estsimp,2
2018,9PY8FH,melogit,2
2018,JPZIJY,ivtobit,2
2018,9XRCMQ,regress,2
2018,KVCVJG,estsimp,2
2019,OUGO3T,logit,2
2019,233JVI,heckman,2
2019,233JVI,xtreg,2
2016,12316,regress,2
2016,12479,xtmixed,2
2016,12479,regress,2
2016,12244,sem,2
2017,ILIXEQ,xtlogit,2
2015,12125,regress,1
2015,11669,xtprobit,1
2015,12145,regress,1
2015,12121,logit,1
2015,12151,xtpoisson,1
2015,12151,xtnbreg,1
2018,C4KSZF,regress,1
2018,EHEOY1,sureg,1
2018,ZSDNZH,regress,1
2018,ZSDNZH,poisson,1
2018,KVCVJG,mprobit,1
2017,SMKJFZ,regress,1
