year,dataset,command,count
2019,DHZBAB,replace,1084
2019,D64FNB,replace,724
2018,PCM2O2,egen,509
2019,DHZBAB,generate,487
2018,KZIXI0,estadd,403
2018,YDSRWF,replace,352
2017,ILZ5QL,label,327
2018,SJ8ER9,local,326
2018,PCM2O2,generate,324
2018,PCM2O2,estadd,312
2018,YDSRWF,matrix,295
2019,D64FNB,generate,281
2019,TI5BPV,generate,262
2018,SJ8ER9,if,246
2017,VHNHHN,estadd,230
2018,XF1157,fre,229
2017,ILZ5QL,generate,229
2018,X8ZRVO,tabulate,225
2018,X8ZRVO,regress,210
2018,KZIXI0,summarize,201
2018,KZIXI0,egen,197
2019,TI5BPV,local,197
2017,1QZ0JZ,summarize,191
2017,VHNHHN,estimates:store,190
2017,1QZ0JZ,setx,190
2019,TI5BPV,use,172
2017,ILZ5QL,replace,165
2017,1QZ0JZ,drop,163
2019,VKOMCK,label,162
2018,SJ8ER9,generate,159
2018,KZIXI0,local,156
2017,VHNHHN,ivregress,156
2019,D64FNB,display,153
2018,AI3VM8,estadd,148
2018,X8ZRVO,areg,147
2017,1QZ0JZ,simqi,144
2019,TI5BPV,cgmwildboot,143
2016,22636,outreg2,143
2018,SJ8ER9,global,142
2018,PCM2O2,regress,142
2019,VKOMCK,generate,139
2015,IUG2C4,label,138
2018,XF1157,ta,137
2019,VKOMCK,regress,137
2017,1QZ0JZ,display,136
2018,5QUCW7,regress,134
2019,TI5BPV,outreg2,134
2016,22636,regress,134
2018,CTZNJV,generate,133
2018,E7OQEY,estsimp,132
2018,E7OQEY,setx,132
2018,E7OQEY,simqi,132
2017,1QZ0JZ,local,131
2018,E7OQEY,drop,130
2018,SJ8ER9,replace,129
2019,D64FNB,xtreg,129
2018,XF1157,label,127
2018,AI3VM8,generate,127
2019,DHZBAB,drop,127
2018,KZIXI0,drop,123
2019,VKOMCK,estimates:store,123
2018,XF1157,regress,122
2018,XF1157,generate,120
2018,JSR0OE,dprobit,119
2018,AI3VM8,replace,118
2018,AI3VM8,label,117
2015,IUG2C4,generate,116
2018,PCM2O2,drop,115
2018,YDSRWF,generate,111
2018,X8ZRVO,ttest,108
2019,D64FNB,testparm,107
2018,JSR0OE,scalar,105
2018,E7OQEY,logit,104
2019,TI5BPV,xtreg,104
2018,E7OQEY,replace,103
2018,TTE3SQ,replace,101
2018,SAPQYS,local,100
2018,AJHFHU,generate,100
2019,TI5BPV,summarize,94
2017,X7AMNO,outreg2,94
2018,YDSRWF,label,93
2019,IANHOG,test,93
2019,IANHOG,scalar,93
2018,PCM2O2,foreach,92
2018,PCM2O2,local,92
2019,IANHOG,outreg2,92
2019,IANHOG,label,92
2018,YDSRWF,local,91
2018,PCM2O2,rename,91
2018,SJ8ER9,foreach,89
2018,DQZXQB,replace,88
2018,VTUSLV,generate,87
2019,TI5BPV,regress,85
2015,K7292I,global,84
2018,XF1157,recode,84
2018,PCM2O2,use,84
2018,YDSRWF,foreach,83
2015,IUG2C4,replace,82
2018,SJ8ER9,drop,82
2018,DQZXQB,generate,81
2019,VKOMCK,replace,81
