title,href,date,filename,file_href
Replication Data for: Is Position-Taking Contagious? Evidence of Cue-Taking from Two Field Experiments in a State Legislature,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZJTLSW,"Mar 6, 2019",replication_data_alternative_spillover_simulations.RData,/file.xhtml?fileId=3336087&version=1.0
Replication Data for: Is Position-Taking Contagious? Evidence of Cue-Taking from Two Field Experiments in a State Legislature,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZJTLSW,"Mar 6, 2019",zelizer_replication_code_IPC.R,/file.xhtml?fileId=3336083&version=1.0
Replication Data for: Is Position-Taking Contagious? Evidence of Cue-Taking from Two Field Experiments in a State Legislature,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZJTLSW,"Mar 6, 2019",zelizer_replication_code_timing_IPC.R,/file.xhtml?fileId=3336084&version=1.0
Replication Data for: Is Position-Taking Contagious? Evidence of Cue-Taking from Two Field Experiments in a State Legislature,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZJTLSW,"Mar 6, 2019",zelizer_replication_data_dates_IPC.RData,/file.xhtml?fileId=3336085&version=1.0
Replication Data for: Is Position-Taking Contagious? Evidence of Cue-Taking from Two Field Experiments in a State Legislature,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZJTLSW,"Mar 6, 2019",zelizer_replication_data_IPC.RData,/file.xhtml?fileId=3336086&version=1.0
Elite Defection under Autocracy: Evidence from Russia,/dataset.xhtml?persistentId=doi:10.7910/DVN/B1HHGV,"Mar 6, 2019",allcovs.tab,/file.xhtml?fileId=3332464&version=1.0
Elite Defection under Autocracy: Evidence from Russia,/dataset.xhtml?persistentId=doi:10.7910/DVN/B1HHGV,"Mar 6, 2019",AppendixTablesFigures.R,/file.xhtml?fileId=3332470&version=1.0
Elite Defection under Autocracy: Evidence from Russia,/dataset.xhtml?persistentId=doi:10.7910/DVN/B1HHGV,"Mar 6, 2019",cand.Rda,/file.xhtml?fileId=3332469&version=1.0
Elite Defection under Autocracy: Evidence from Russia,/dataset.xhtml?persistentId=doi:10.7910/DVN/B1HHGV,"Mar 6, 2019",cand_all.Rda,/file.xhtml?fileId=3332471&version=1.0
Elite Defection under Autocracy: Evidence from Russia,/dataset.xhtml?persistentId=doi:10.7910/DVN/B1HHGV,"Mar 6, 2019",cand_ur.Rda,/file.xhtml?fileId=3332473&version=1.0
