year,dataset,command,count
2018,X8ZRVO,regress,210
2017,VHNHHN,ivregress,156
2018,X8ZRVO,areg,147
2018,PCM2O2,regress,142
2019,VKOMCK,regress,137
2018,5QUCW7,regress,134
2016,22636,regress,134
2018,E7OQEY,estsimp,132
2019,D64FNB,xtreg,129
2018,XF1157,regress,122
2018,JSR0OE,dprobit,119
2018,E7OQEY,logit,104
2019,TI5BPV,xtreg,104
2019,TI5BPV,regress,85
2018,AJHFHU,xtreg,78
2019,DHZBAB,regress,77
2018,KZIXI0,areg,71
2018,RUQ2KP,regress,69
2017,KGOUYI,probit,69
2018,AJHFHU,xtivreg2,67
2019,IANHOG,regress,61
2017,TKU9WH,regress,61
2018,E7OQEY,psmatch2,54
2018,KZIXI0,regress,52
2017,ILZ5QL,ivreg2,50
2013,IQW9LQ,logit,45
2017,OJQJRM,regress,45
2017,X7AMNO,ivregress,45
2018,GJIRV0,logit,40
2013,23402,ivregress,40
2017,RAMHWP,xtreg,40
2017,EY2I6M,regress,39
2017,TKU9WH,xtmixed,38
2019,EKZQSZ,xtreg,37
2015,K7292I,regress,34
2018,AL1A4Q,regress,34
2011,FFXKHO,logit,33
2018,YDSRWF,rdrobust,32
2018,03CDTK,meologit,30
2018,VNHM17,regress,28
2017,MYSRXT,xtreg,28
2017,X7AMNO,ivreg2,28
2018,MO3KOQ,xtmixed,27
2019,D64FNB,xtivreg2,26
2018,AI3VM8,reghdfe,25
2017,X7AMNO,regress,23
2018,UJYEAD,xtmelogit,22
2019,YGUHTD,tobit,22
2017,ZUMTTN,xtreg,22
2018,MO3KOQ,xtreg,21
2018,AI3VM8,areg,21
2018,JSR0OE,regress,20
2018,AJHFHU,regress,20
2017,TKU9WH,xtprobit,20
2018,CTZNJV,estsimp,19
2016,QWXPUA,regress,19
2018,SAPQYS,areg,18
2018,AL1A4Q,probit,18
2017,V7SQRW,regress,18
2017,1QZ0JZ,estsimp,18
2017,ZUMTTN,areg,18
2018,03CDTK,melogit,17
2018,FVCGHC,regress,17
2012,Z7RTOQ,regress,17
2017,KDSF60,xtnbreg,17
2017,VHNHHN,regress,17
2017,ILZ5QL,regress,17
2015,IUG2C4,regress,16
2018,E7OQEY,regress,16
2019,VKOMCK,xtreg,16
2018,03CDTK,mixed,15
2019,IANHOG,oprobit,15
2017,KBRXOR,regress,15
2015,IUG2C4,svy:regress,14
2017,V7SQRW,ivreg2,14
2018,CTZNJV,tlogit,13
2019,YGUHTD,regress,13
2018,AL1A4Q,xtmixed,12
2018,AI3VM8,mixed,12
2018,KTCXTE,probit,12
2016,QWXPUA,mlogit,12
2017,KBRXOR,xtreg,12
2018,DQZXQB,regress,11
2016,HQXKJ9,xtreg,11
2014,26937,xtlogit,10
2018,5QUCW7,svy:regress,10
2018,AI3VM8,glm,10
2019,IANHOG,areg,10
2019,IANHOG,dprobit,10
2019,DHZBAB,areg,10
2017,KGOUYI,regress,10
2015,IUG2C4,ivreg2,9
2017,1QZ0JZ,nbreg,9
2014,27176,xtreg,8
2018,HHMXU3,xtpcse,8
2018,KZIXI0,reg2hdfespatial,8
2018,GJIRV0,regress,8
2018,GJIRV0,cgmlogit,8
2013,CTQKJA,areg,8
2013,CTQKJA,xtreg,8
2019,VKOMCK,interflex,8
2019,SEOCQ0,regress,8
2016,QR73H6,ivreg2,8
2017,KDSF60,xtabond,8
2017,OJQJRM,ivregress,8
2017,VHNHHN,nbreg,8
2017,X0ZPH4,regress,8
2014,26937,xtreg,7
2017,KBRXOR,areg,7
2018,AL1A4Q,ivprobit,6
2018,AI3VM8,nbreg,6
2018,AI3VM8,xtpoisson,6
2018,SNW8PV,regress,6
2018,KTCXTE,oprobit,6
2019,38BFML,areg,6
2016,22636,dprobit,6
2016,QR73H6,xtreg,6
2018,SAPQYS,logit,5
2018,JSR0OE,xtreg,5
2019,VKOMCK,oprobit,5
2019,D64FNB,regress,5
2017,OJQJRM,areg,5
2017,KGOUYI,ivprobit,5
2018,GJIRV0,probit,4
2018,GJIRV0,cgmreg,4
2018,MO3KOQ,regress,4
2019,D64FNB,xtabond2,4
2016,22636,estsimp,4
2016,QR73H6,biprobit,4
2017,VHNHHN,probit,4
2017,X7AMNO,bootstrap:ivreg2,4
2018,03CDTK,ologit,3
2018,AOTVAU,areg,3
2018,XF1157,logit,3
2018,SJ8ER9,logit,3
2018,JSR0OE,probit2,3
2018,YDSRWF,DCdensity,3
2013,CTQKJA,probit,3
2013,23402,regress,3
2019,TI5BPV,nbreg,3
2016,22636,oprobit,3
2016,22636,nbreg,3
2017,VHNHHN,poisson,3
2017,ZUMTTN,regress,3
2017,MYSRXT,xtpcse,3
2017,INVDWM,regress,3
2015,K7292I,ivreg2,2
2018,RUQ2KP,sureg,2
2018,AL1A4Q,ivreg2,2
2018,MO3KOQ,xtivreg2,2
2018,AI3VM8,regress,2
2018,UVANPR,menbreg,2
2018,UVANPR,mepoisson,2
2018,UJYEAD,firthlogit,2
2013,WC8DPI,probit,2
2019,EKZQSZ,xtlogit,2
2016,QR73H6,logit,2
2016,QWXPUA,xtreg,2
2017,KDSF60,xtreg,2
2017,KBRXOR,logit,2
2017,VHNHHN,logit,2
2017,KGOUYI,version:probit,2
2017,KGOUYI,version:streg,2
2017,KGOUYI,version:stcox,2
2017,ZUMTTN,interflex,2
2017,MYSRXT,regress,2
2017,X7AMNO,ivtobit,2
2014,26937,xtmelogit,1
2014,26937,xtdpd,1
2014,27176,xtregar,1
2015,IUG2C4,xtreg,1
2015,IUG2C4,outreg,1
2015,IUG2C4,psmatch2,1
2018,SAPQYS,regress,1
2018,03CDTK,logit,1
2018,03CDTK,regress,1
2018,AOTVAU,regress,1
2018,5QUCW7,psmatch2,1
2018,MO3KOQ,xtlogit,1
2018,AI3VM8,interflex,1
2018,JSR0OE,probit,1
2018,SNW8PV,probit,1
2018,YDSRWF,regress,1
2018,UJYEAD,mixed,1
2018,UJYEAD,relogit,1
2018,UJYEAD,logit,1
2018,KTCXTE,ologit,1
2018,KTCXTE,logit,1
2018,KTCXTE,regress,1
2019,EKZQSZ,reghdfe,1
2019,EKZQSZ,regress,1
2016,QR73H6,relogit,1
2016,QR73H6,xtpoisson,1
2017,KBRXOR,impute,1
2017,KBRXOR,xtivreg,1
2017,VHNHHN,DCdensity,1
2017,KGOUYI,mlogit,1
2017,ZUMTTN,xtlogit,1
2017,X7AMNO,tobit,1
