year,dataset,command,count
2017,RHPOYR,replace,250
2018,7TRL0I,generate,240
2018,7TRL0I,ttest,210
2019,3EDO2Y,regress,173
2019,KKFS8Y,replace,160
2019,ID1KJG,generate,159
2017,L8YEDW,label,152
2017,L8YEDW,replace,141
2017,L8YEDW,generate,131
2018,7TRL0I,summarize,120
2017,BKVLFI,ttest,116
2018,NCH88M,prtest,109
2018,CXWIPM,replace,97
2018,YTZZIT,regress,95
2019,KKFS8Y,generate,93
2019,KKFS8Y,label,79
2017,AU3BTQ,recode,71
2017,WA03I2,replace,67
2019,OQTUZM,regress,66
2018,8UNDWJ,recode,61
2018,OQFMB6,generate,60
2019,OQTUZM,eststo,58
2017,HO2KIC,estimates:store,57
2018,7TRL0I,ksmirnov,56
2018,SIGNC8,rename,56
2017,HO2KIC,regress,56
2018,CXWIPM,generate,54
2018,CXWIPM,matrix,54
2017,L8YEDW,tabulate,54
2017,AU3BTQ,label,53
2019,ID1KJG,replace,52
2017,AU3BTQ,generate,51
2017,RHPOYR,margins,50
2017,RHPOYR,lincom,50
2018,E3ZSRO,replace,48
2018,SIGNC8,replace,46
2017,WA03I2,svy:regress,44
2017,BKVLFI,regress,44
2017,L8YEDW,outreg2,43
2019,ID1KJG,regress,42
2017,L8YEDW,rename,41
2018,7TRL0I,return,40
2018,7TRL0I,ttesti,40
2018,7TRL0I,drop,40
2017,AU3BTQ,margins,40
2017,HO2KIC,test,40
2018,6FP9Z6,label,38
2017,AU3BTQ,replace,38
2018,0XSLQX,recode,37
2018,5KM8VO,tabulate,36
2018,NCH88M,generate,36
2018,NCH88M,replace,36
2017,L8YEDW,regress,35
2019,ID1KJG,label,33
2018,8UNDWJ,generate,31
2017,WA03I2,generate,31
2018,6FP9Z6,regress,30
2019,N1HOB1,generate,29
2019,KKFS8Y,eststo,29
2018,CXWIPM,local,28
2019,3EDO2Y,tabulate,28
2017,WA03I2,mean,28
2017,HO2KIC,generate,28
2018,0XSLQX,generate,27
2019,BWCX3E,ttest,27
2017,RHPOYR,svy:logit,25
2018,E3ZSRO,label,24
2019,N1HOB1,mata,24
2019,PI2CBB,regress,24
2018,6FP9Z6,generate,23
2018,6FP9Z6,replace,23
2018,OQFMB6,regress,23
2018,E3ZSRO,generate,23
2018,CXWIPM,regress,23
2019,GPRPZL,ttest,23
2019,GPRPZL,esize,23
2017,L8YEDW,recode,23
2017,L8YEDW,drop,23
2017,RHPOYR,svy:tabulate,23
2017,AU3BTQ,eststo,23
2018,5KM8VO,ttest,22
2019,ID1KJG,estimates:store,22
2019,ID1KJG,outreg2,22
2019,UZJCO1,graph,22
2019,KKFS8Y,recode,22
2018,SIGNC8,generate,21
2019,KKFS8Y,encode,21
2017,L8YEDW,clear,21
2017,L8YEDW,use,21
2017,AU3BTQ,regress,21
2019,UZJCO1,margins,20
