title,href,date
"Replication Data for ""Does poverty undermine cooperation in multiethnic settings? Evidence from a cooperative investment experiment.""",/dataset.xhtml?persistentId=doi:10.7910/DVN/OQTUZM,"May 18, 2019"
Replication Data for: Persistent Bias Among Local Election Officials,/dataset.xhtml?persistentId=doi:10.7910/DVN/8E1IIM,"Mar 26, 2019"
"""I Didn't Lie, I Misspoke"": Voters' Responses to Questionable Campaign Claims",/dataset.xhtml?persistentId=doi:10.7910/DVN/GE3E8R,"Mar 7, 2019"
Replication Data for: All Sins are not Created Equal: The Factors that Drive Perceptions of Corruption Severity,/dataset.xhtml?persistentId=doi:10.7910/DVN/ID1KJG,"Mar 7, 2019"
"Replication Data for ""Does Exposure to Gender Role Models Increase Women’s Political Ambition? A Field Experiment With Politicians""",/dataset.xhtml?persistentId=doi:10.7910/DVN/BSIFTF,"Mar 6, 2019"
Replication Data for: Bread and Circuses: Sports and Public Opinion in China,/dataset.xhtml?persistentId=doi:10.7910/DVN/BWCX3E,"Mar 5, 2019"
"Replication Data for: Believe It or Not? Partisanship, Preferences, and the Credibility of Campaign Promises",/dataset.xhtml?persistentId=doi:10.7910/DVN/6JGSZP,"Mar 5, 2019"
Replication Data for: Drowned out by the noise? The downstream mobilisation effects of party campaigning between local and general elections,/dataset.xhtml?persistentId=doi:10.7910/DVN/PI2CBB,"Feb 19, 2019"
"Replication Data for: Political Competition, Partisanship, and Interpersonal Trust under Party Dominance: Evidence from post-Apartheid South Africa",/dataset.xhtml?persistentId=doi:10.7910/DVN/UZJCO1,"Feb 12, 2019"
Reproduction Files for 'Should We Worry About Sponsorship-Induced Bias in Online Political Science Surveys?',/dataset.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y,"Feb 12, 2019"
Replication Data for: Does Perceiving Discrimination Influence Partisanship among U.S. Immigrant Minorities?,/dataset.xhtml?persistentId=doi:10.7910/DVN/NQFPF3,"Feb 5, 2019"
