title,href,date,filename,file_href
"Replication Data for ""Does poverty undermine cooperation in multiethnic settings? Evidence from a cooperative investment experiment.""",/dataset.xhtml?persistentId=doi:10.7910/DVN/OQTUZM,"May 18, 2019",pc.tab,/file.xhtml?persistentId=doi:10.7910/DVN/OQTUZM/HFJKJK&version=1.0
"Replication Data for ""Does poverty undermine cooperation in multiethnic settings? Evidence from a cooperative investment experiment.""",/dataset.xhtml?persistentId=doi:10.7910/DVN/OQTUZM,"May 18, 2019",pc_nt.tab,/file.xhtml?persistentId=doi:10.7910/DVN/OQTUZM/T3SAYB&version=1.0
"Replication Data for ""Does poverty undermine cooperation in multiethnic settings? Evidence from a cooperative investment experiment.""",/dataset.xhtml?persistentId=doi:10.7910/DVN/OQTUZM,"May 18, 2019",poverty_cooperation.do,/file.xhtml?persistentId=doi:10.7910/DVN/OQTUZM/OAO5R3&version=1.0
"Replication Data for ""Does poverty undermine cooperation in multiethnic settings? Evidence from a cooperative investment experiment.""",/dataset.xhtml?persistentId=doi:10.7910/DVN/OQTUZM,"May 18, 2019",readme.txt,/file.xhtml?persistentId=doi:10.7910/DVN/OQTUZM/Q4HX3F&version=1.0
Replication Data for: Persistent Bias Among Local Election Officials,/dataset.xhtml?persistentId=doi:10.7910/DVN/8E1IIM,"Mar 26, 2019",2016_US_County_Level_Presidential_Results.csv,/file.xhtml?persistentId=doi:10.7910/DVN/8E1IIM/XDTM3X&version=1.0
Replication Data for: Persistent Bias Among Local Election Officials,/dataset.xhtml?persistentId=doi:10.7910/DVN/8E1IIM,"Mar 26, 2019",experimentAnalysis.ipynb,/file.xhtml?persistentId=doi:10.7910/DVN/8E1IIM/LRTSHI&version=1.0
Replication Data for: Persistent Bias Among Local Election Officials,/dataset.xhtml?persistentId=doi:10.7910/DVN/8E1IIM,"Mar 26, 2019",plot_function.R,/file.xhtml?persistentId=doi:10.7910/DVN/8E1IIM/MRZKRG&version=1.0
Replication Data for: Persistent Bias Among Local Election Officials,/dataset.xhtml?persistentId=doi:10.7910/DVN/8E1IIM,"Mar 26, 2019",replication_data.tab,/file.xhtml?persistentId=doi:10.7910/DVN/8E1IIM/X0YPX2&version=1.0
Replication Data for: Persistent Bias Among Local Election Officials,/dataset.xhtml?persistentId=doi:10.7910/DVN/8E1IIM,"Mar 26, 2019",replication_data_variable_definitions.txt,/file.xhtml?persistentId=doi:10.7910/DVN/8E1IIM/ONDKPU&version=1.0
Replication Data for: Persistent Bias Among Local Election Officials,/dataset.xhtml?persistentId=doi:10.7910/DVN/8E1IIM,"Mar 26, 2019",replication_tracker.tab,/file.xhtml?persistentId=doi:10.7910/DVN/8E1IIM/XMJKGI&version=1.0
Replication Data for: Persistent Bias Among Local Election Officials,/dataset.xhtml?persistentId=doi:10.7910/DVN/8E1IIM,"Mar 26, 2019",voterIDexp_data_sept2014.RData,/file.xhtml?persistentId=doi:10.7910/DVN/8E1IIM/TYRSVA&version=1.0
"""I Didn't Lie, I Misspoke"": Voters' Responses to Questionable Campaign Claims",/dataset.xhtml?persistentId=doi:10.7910/DVN/GE3E8R,"Mar 7, 2019",readme_SimasMurdoch.docx,/file.xhtml?persistentId=doi:10.7910/DVN/GE3E8R/UCAVAP&version=1.0
"""I Didn't Lie, I Misspoke"": Voters' Responses to Questionable Campaign Claims",/dataset.xhtml?persistentId=doi:10.7910/DVN/GE3E8R,"Mar 7, 2019",simas_murdoch_figures.smcl,/file.xhtml?persistentId=doi:10.7910/DVN/GE3E8R/EWAW7A&version=1.0
"""I Didn't Lie, I Misspoke"": Voters' Responses to Questionable Campaign Claims",/dataset.xhtml?persistentId=doi:10.7910/DVN/GE3E8R,"Mar 7, 2019",simas_murdoch_figures.tab,/file.xhtml?persistentId=doi:10.7910/DVN/GE3E8R/HXEIHW&version=1.0
"""I Didn't Lie, I Misspoke"": Voters' Responses to Questionable Campaign Claims",/dataset.xhtml?persistentId=doi:10.7910/DVN/GE3E8R,"Mar 7, 2019",simas_murdoch_replication.do,/file.xhtml?persistentId=doi:10.7910/DVN/GE3E8R/LQL7NQ&version=1.0
"""I Didn't Lie, I Misspoke"": Voters' Responses to Questionable Campaign Claims",/dataset.xhtml?persistentId=doi:10.7910/DVN/GE3E8R,"Mar 7, 2019",simas_murdoch_replication.smcl,/file.xhtml?persistentId=doi:10.7910/DVN/GE3E8R/TX5FD5&version=1.0
"""I Didn't Lie, I Misspoke"": Voters' Responses to Questionable Campaign Claims",/dataset.xhtml?persistentId=doi:10.7910/DVN/GE3E8R,"Mar 7, 2019",simas_murdoch_replication.tab,/file.xhtml?persistentId=doi:10.7910/DVN/GE3E8R/HYXOR6&version=1.0
Replication Data for: All Sins are not Created Equal: The Factors that Drive Perceptions of Corruption Severity,/dataset.xhtml?persistentId=doi:10.7910/DVN/ID1KJG,"Mar 7, 2019",Conjoint_experiment_raw.tab,/file.xhtml?persistentId=doi:10.7910/DVN/ID1KJG/IIBY5L&version=1.0
Replication Data for: All Sins are not Created Equal: The Factors that Drive Perceptions of Corruption Severity,/dataset.xhtml?persistentId=doi:10.7910/DVN/ID1KJG,"Mar 7, 2019",JEPS_Replication.do,/file.xhtml?persistentId=doi:10.7910/DVN/ID1KJG/ZYKP15&version=1.0
Replication Data for: All Sins are not Created Equal: The Factors that Drive Perceptions of Corruption Severity,/dataset.xhtml?persistentId=doi:10.7910/DVN/ID1KJG,"Mar 7, 2019",Martin_JEPS_Protocols.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/ID1KJG/GOBMPG&version=1.0
Replication Data for: All Sins are not Created Equal: The Factors that Drive Perceptions of Corruption Severity,/dataset.xhtml?persistentId=doi:10.7910/DVN/ID1KJG,"Mar 7, 2019",Martin_Replication_Log.smcl,/file.xhtml?persistentId=doi:10.7910/DVN/ID1KJG/RCZU1T&version=1.0
Replication Data for: All Sins are not Created Equal: The Factors that Drive Perceptions of Corruption Severity,/dataset.xhtml?persistentId=doi:10.7910/DVN/ID1KJG,"Mar 7, 2019",profile_level_clean.tab,/file.xhtml?persistentId=doi:10.7910/DVN/ID1KJG/PEWSN3&version=1.0
Replication Data for: All Sins are not Created Equal: The Factors that Drive Perceptions of Corruption Severity,/dataset.xhtml?persistentId=doi:10.7910/DVN/ID1KJG,"Mar 7, 2019",Readme.txt,/file.xhtml?persistentId=doi:10.7910/DVN/ID1KJG/88YMR4&version=1.0
Replication Data for: All Sins are not Created Equal: The Factors that Drive Perceptions of Corruption Severity,/dataset.xhtml?persistentId=doi:10.7910/DVN/ID1KJG,"Mar 7, 2019",respondent_level_clean.tab,/file.xhtml?persistentId=doi:10.7910/DVN/ID1KJG/5QGYBN&version=1.0
"Replication Data for ""Does Exposure to Gender Role Models Increase Women’s Political Ambition? A Field Experiment With Politicians""",/dataset.xhtml?persistentId=doi:10.7910/DVN/BSIFTF,"Mar 6, 2019",Analysis.R,/file.xhtml?persistentId=doi:10.7910/DVN/BSIFTF/HIYRSB&version=1.0
"Replication Data for ""Does Exposure to Gender Role Models Increase Women’s Political Ambition? A Field Experiment With Politicians""",/dataset.xhtml?persistentId=doi:10.7910/DVN/BSIFTF,"Mar 6, 2019",Appendix.R,/file.xhtml?persistentId=doi:10.7910/DVN/BSIFTF/TX5L02&version=1.0
"Replication Data for ""Does Exposure to Gender Role Models Increase Women’s Political Ambition? A Field Experiment With Politicians""",/dataset.xhtml?persistentId=doi:10.7910/DVN/BSIFTF,"Mar 6, 2019",dataset_complete_waves_1_2.rds,/file.xhtml?persistentId=doi:10.7910/DVN/BSIFTF/USW27I&version=1.0
"Replication Data for ""Does Exposure to Gender Role Models Increase Women’s Political Ambition? A Field Experiment With Politicians""",/dataset.xhtml?persistentId=doi:10.7910/DVN/BSIFTF,"Mar 6, 2019",log_appendix.txt,/file.xhtml?persistentId=doi:10.7910/DVN/BSIFTF/M5X3GQ&version=1.0
"Replication Data for ""Does Exposure to Gender Role Models Increase Women’s Political Ambition? A Field Experiment With Politicians""",/dataset.xhtml?persistentId=doi:10.7910/DVN/BSIFTF,"Mar 6, 2019",log_results.txt,/file.xhtml?persistentId=doi:10.7910/DVN/BSIFTF/M5ND5R&version=1.0
"Replication Data for ""Does Exposure to Gender Role Models Increase Women’s Political Ambition? A Field Experiment With Politicians""",/dataset.xhtml?persistentId=doi:10.7910/DVN/BSIFTF,"Mar 6, 2019",quotas.tab,/file.xhtml?persistentId=doi:10.7910/DVN/BSIFTF/U05WCT&version=1.0
"Replication Data for ""Does Exposure to Gender Role Models Increase Women’s Political Ambition? A Field Experiment With Politicians""",/dataset.xhtml?persistentId=doi:10.7910/DVN/BSIFTF,"Mar 6, 2019",README_Foos_Gilardi_JEPS.txt,/file.xhtml?persistentId=doi:10.7910/DVN/BSIFTF/CTVYWK&version=1.0
"Replication Data for ""Does Exposure to Gender Role Models Increase Women’s Political Ambition? A Field Experiment With Politicians""",/dataset.xhtml?persistentId=doi:10.7910/DVN/BSIFTF,"Mar 6, 2019",Recoding.R,/file.xhtml?persistentId=doi:10.7910/DVN/BSIFTF/XF8M0I&version=1.0
"Replication Data for ""Does Exposure to Gender Role Models Increase Women’s Political Ambition? A Field Experiment With Politicians""",/dataset.xhtml?persistentId=doi:10.7910/DVN/BSIFTF,"Mar 6, 2019",ruedin.tab,/file.xhtml?persistentId=doi:10.7910/DVN/BSIFTF/QCS08K&version=1.0
"Replication Data for ""Does Exposure to Gender Role Models Increase Women’s Political Ambition? A Field Experiment With Politicians""",/dataset.xhtml?persistentId=doi:10.7910/DVN/BSIFTF,"Mar 6, 2019",sf99femdata.tab,/file.xhtml?persistentId=doi:10.7910/DVN/BSIFTF/NKKMTD&version=1.0
Replication Data for: Bread and Circuses: Sports and Public Opinion in China,/dataset.xhtml?persistentId=doi:10.7910/DVN/BWCX3E,"Mar 5, 2019",chen_macdonald_replication_code.do,/file.xhtml?persistentId=doi:10.7910/DVN/BWCX3E/3DATPU&version=1.0
Replication Data for: Bread and Circuses: Sports and Public Opinion in China,/dataset.xhtml?persistentId=doi:10.7910/DVN/BWCX3E,"Mar 5, 2019",chen_macdonald_replication_data.tab,/file.xhtml?persistentId=doi:10.7910/DVN/BWCX3E/HYAY83&version=1.0
Replication Data for: Bread and Circuses: Sports and Public Opinion in China,/dataset.xhtml?persistentId=doi:10.7910/DVN/BWCX3E,"Mar 5, 2019",chen_macdonald_replication_log.txt,/file.xhtml?persistentId=doi:10.7910/DVN/BWCX3E/N46VOA&version=1.0
Replication Data for: Bread and Circuses: Sports and Public Opinion in China,/dataset.xhtml?persistentId=doi:10.7910/DVN/BWCX3E,"Mar 5, 2019",README.txt,/file.xhtml?persistentId=doi:10.7910/DVN/BWCX3E/FCTVTX&version=1.0
"Replication Data for: Believe It or Not? Partisanship, Preferences, and the Credibility of Campaign Promises",/dataset.xhtml?persistentId=doi:10.7910/DVN/6JGSZP,"Mar 5, 2019",CCES16_UCM_OUTPUT_Feb2017_CODEBOOK.txt,/file.xhtml?persistentId=doi:10.7910/DVN/6JGSZP/LPIA7V&version=1.0
"Replication Data for: Believe It or Not? Partisanship, Preferences, and the Credibility of Campaign Promises",/dataset.xhtml?persistentId=doi:10.7910/DVN/6JGSZP,"Mar 5, 2019",CCES16_UCM_UMB_OUTPUT_Feb2017_unmatched.tab,/file.xhtml?persistentId=doi:10.7910/DVN/6JGSZP/PSJBAG&version=1.0
"Replication Data for: Believe It or Not? Partisanship, Preferences, and the Credibility of Campaign Promises",/dataset.xhtml?persistentId=doi:10.7910/DVN/6JGSZP,"Mar 5, 2019",CCES16_UMB_OUTPUT_Feb2017_CODEBOOK.txt,/file.xhtml?persistentId=doi:10.7910/DVN/6JGSZP/1X6PQL&version=1.0
"Replication Data for: Believe It or Not? Partisanship, Preferences, and the Credibility of Campaign Promises",/dataset.xhtml?persistentId=doi:10.7910/DVN/6JGSZP,"Mar 5, 2019",README_JEPS.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/6JGSZP/NPWBPB&version=1.0
"Replication Data for: Believe It or Not? Partisanship, Preferences, and the Credibility of Campaign Promises",/dataset.xhtml?persistentId=doi:10.7910/DVN/6JGSZP,"Mar 5, 2019",replication_file_JEPS.R,/file.xhtml?persistentId=doi:10.7910/DVN/6JGSZP/2N6R01&version=1.0
"Replication Data for: Believe It or Not? Partisanship, Preferences, and the Credibility of Campaign Promises",/dataset.xhtml?persistentId=doi:10.7910/DVN/6JGSZP,"Mar 5, 2019",replication_logFile_JEPS.txt,/file.xhtml?persistentId=doi:10.7910/DVN/6JGSZP/OZ1FXD&version=1.0
Replication Data for: Drowned out by the noise? The downstream mobilisation effects of party campaigning between local and general elections,/dataset.xhtml?persistentId=doi:10.7910/DVN/PI2CBB,"Feb 19, 2019",Downstream Dataset JEPS.tab,/file.xhtml?persistentId=doi:10.7910/DVN/PI2CBB/SQQMDN&version=1.0
Replication Data for: Drowned out by the noise? The downstream mobilisation effects of party campaigning between local and general elections,/dataset.xhtml?persistentId=doi:10.7910/DVN/PI2CBB,"Feb 19, 2019",Downstream Do-File JEPS.do,/file.xhtml?persistentId=doi:10.7910/DVN/PI2CBB/GGGJRZ&version=1.0
Replication Data for: Drowned out by the noise? The downstream mobilisation effects of party campaigning between local and general elections,/dataset.xhtml?persistentId=doi:10.7910/DVN/PI2CBB,"Feb 19, 2019",ReadMe Downstream JEPS.rtf,/file.xhtml?persistentId=doi:10.7910/DVN/PI2CBB/HQ2GQD&version=1.0
Replication Data for: Drowned out by the noise? The downstream mobilisation effects of party campaigning between local and general elections,/dataset.xhtml?persistentId=doi:10.7910/DVN/PI2CBB,"Feb 19, 2019",ResultsLogFile.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/PI2CBB/0MICHZ&version=1.0
"Replication Data for: Political Competition, Partisanship, and Interpersonal Trust under Party Dominance: Evidence from post-Apartheid South Africa",/dataset.xhtml?persistentId=doi:10.7910/DVN/UZJCO1,"Feb 12, 2019",CLY Replication File.do,/file.xhtml?persistentId=doi:10.7910/DVN/UZJCO1/WZVNL0&version=1.0
"Replication Data for: Political Competition, Partisanship, and Interpersonal Trust under Party Dominance: Evidence from post-Apartheid South Africa",/dataset.xhtml?persistentId=doi:10.7910/DVN/UZJCO1,"Feb 12, 2019",CLY Replication JEPS Log file.smcl,/file.xhtml?persistentId=doi:10.7910/DVN/UZJCO1/YGJRNU&version=1.0
"Replication Data for: Political Competition, Partisanship, and Interpersonal Trust under Party Dominance: Evidence from post-Apartheid South Africa",/dataset.xhtml?persistentId=doi:10.7910/DVN/UZJCO1,"Feb 12, 2019",study 1 data.tab,/file.xhtml?persistentId=doi:10.7910/DVN/UZJCO1/QUNREA&version=1.0
"Replication Data for: Political Competition, Partisanship, and Interpersonal Trust under Party Dominance: Evidence from post-Apartheid South Africa",/dataset.xhtml?persistentId=doi:10.7910/DVN/UZJCO1,"Feb 12, 2019",study 2 data.tab,/file.xhtml?persistentId=doi:10.7910/DVN/UZJCO1/VYWDTV&version=1.0
"Replication Data for: Political Competition, Partisanship, and Interpersonal Trust under Party Dominance: Evidence from post-Apartheid South Africa",/dataset.xhtml?persistentId=doi:10.7910/DVN/UZJCO1,"Feb 12, 2019",study 2 player 2 data.tab,/file.xhtml?persistentId=doi:10.7910/DVN/UZJCO1/ICHCXH&version=1.0
Reproduction Files for 'Should We Worry About Sponsorship-Induced Bias in Online Political Science Surveys?',/dataset.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y,"Feb 12, 2019",analysis.do,/file.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y/9MZLTL&version=1.0
Reproduction Files for 'Should We Worry About Sponsorship-Induced Bias in Online Political Science Surveys?',/dataset.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y,"Feb 12, 2019",analysis_coding.do,/file.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y/DA33Y0&version=1.0
Reproduction Files for 'Should We Worry About Sponsorship-Induced Bias in Online Political Science Surveys?',/dataset.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y,"Feb 12, 2019",control.docx,/file.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y/PIJPBA&version=1.0
Reproduction Files for 'Should We Worry About Sponsorship-Induced Bias in Online Political Science Surveys?',/dataset.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y,"Feb 12, 2019",control.qsf,/file.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y/HLHDEV&version=1.0
Reproduction Files for 'Should We Worry About Sponsorship-Induced Bias in Online Political Science Surveys?',/dataset.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y,"Feb 12, 2019",log.txt,/file.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y/UP7ATP&version=1.0
Reproduction Files for 'Should We Worry About Sponsorship-Induced Bias in Online Political Science Surveys?',/dataset.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y,"Feb 12, 2019",marketingheavy.docx,/file.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y/ICLISY&version=1.0
Reproduction Files for 'Should We Worry About Sponsorship-Induced Bias in Online Political Science Surveys?',/dataset.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y,"Feb 12, 2019",marketingheavy.qsf,/file.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y/FQ62DS&version=1.0
Reproduction Files for 'Should We Worry About Sponsorship-Induced Bias in Online Political Science Surveys?',/dataset.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y,"Feb 12, 2019",marketinglight.docx,/file.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y/8NPFVZ&version=1.0
Reproduction Files for 'Should We Worry About Sponsorship-Induced Bias in Online Political Science Surveys?',/dataset.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y,"Feb 12, 2019",marketinglight.qsf,/file.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y/WTJEGQ&version=1.0
Reproduction Files for 'Should We Worry About Sponsorship-Induced Bias in Online Political Science Surveys?',/dataset.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y,"Feb 12, 2019",sponsordata.tab,/file.xhtml?persistentId=doi:10.7910/DVN/KKFS8Y/DNC8HD&version=1.0
Replication Data for: Does Perceiving Discrimination Influence Partisanship among U.S. Immigrant Minorities?,/dataset.xhtml?persistentId=doi:10.7910/DVN/NQFPF3,"Feb 5, 2019",gfk-experiment-01042018.tab,/file.xhtml?persistentId=doi:10.7910/DVN/NQFPF3/HVUELA&version=1.0
