year,dataset,command,count
2019,3EDO2Y,regress,173
2018,YTZZIT,regress,95
2019,OQTUZM,regress,66
2017,HO2KIC,regress,56
2017,WA03I2,svy:regress,44
2017,BKVLFI,regress,44
2019,ID1KJG,regress,42
2017,L8YEDW,regress,35
2018,6FP9Z6,regress,30
2017,RHPOYR,svy:logit,25
2019,PI2CBB,regress,24
2018,OQFMB6,regress,23
2018,CXWIPM,regress,23
2017,AU3BTQ,regress,21
2019,KKFS8Y,regress,20
2017,DJTMJC,regress,20
2019,GE3E8R,regress,15
2018,6FP9Z6,outreg,12
2018,NCH88M,probit,12
2019,UZJCO1,xtreg,12
2019,BWCX3E,regress,12
2017,BKVLFI,logit,12
2018,E3ZSRO,regress,11
2018,ET8QLG,regress,10
2018,0XSLQX,ologit,10
2018,5KM8VO,ologit,9
2018,G7F5VA,regress,9
2018,SIGNC8,regress,8
2018,0XSLQX,logit,8
2019,N1HOB1,mlogit,8
2018,7TRL0I,mlogit,7
2019,UZJCO1,anova,7
2019,OR4R9O,xttobit,7
2017,L8YEDW,ivreg2,7
2017,HO2KIC,svy:regress,7
2018,KROGFV,regress,6
2019,N1HOB1,regress,6
2018,7TRL0I,probit,5
2018,G7F5VA,ologit,5
2017,AU3BTQ,anova,5
2018,5KM8VO,oprobit,4
2018,6FP9Z6,ologit,4
2018,1KIEXG,xtreg,4
2018,CXWIPM,areg,4
2017,SOJQKM,xtreg,4
2017,HGPNVV,regress,4
2018,8UNDWJ,regress,3
2018,8UNDWJ,probit,3
2018,KROGFV,logit,3
2019,UZJCO1,tobit,3
2019,KKFS8Y,logit,3
2017,AU3BTQ,logit,3
2018,6FP9Z6,mlogit,2
2018,0XSLQX,probit,2
2018,KROGFV,mlogit,2
2018,KROGFV,poisson,2
2018,1KIEXG,mlogit,2
2018,NCH88M,dprobit2,2
2018,CXWIPM,logit,2
2019,UZJCO1,regress,2
2019,GPRPZL,regress,2
2019,N1HOB1,logit,2
2019,PI2CBB,mlogit,2
2019,GE3E8R,ologit,2
2017,L8YEDW,tobit,2
2017,RHPOYR,logit,2
2017,HGPNVV,mixed,2
2018,7TRL0I,poisson,1
2019,ID1KJG,probit,1
2019,ID1KJG,oprobit,1
2019,UZJCO1,xtmixed,1
2019,OR4R9O,xtlogit,1
2019,N1HOB1,gsem,1
2019,GE3E8R,logit,1
2017,L8YEDW,estsimp,1
2017,L8YEDW,mlogit,1
2017,BKVLFI,impute,1
2017,AU3BTQ,ologit,1
2017,HO2KIC,mlogit,1
